Year,Primary Type,Description,Location
2015,ROBBERY,AGGRAVATED,"(41.764079143, -87.707693378)"
2015,BATTERY,AGGRAVATED: OTHER DANG WEAPON,"(41.91265924, -87.766343158)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.899841292, -87.748365913)"
2015,OTHER OFFENSE,PAROLE VIOLATION,"(41.8380551, -87.645476761)"
2015,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"(41.879487981, -87.746363028)"
2015,THEFT,POCKET-PICKING,"(41.939868048, -87.656839962)"
2015,DECEPTIVE PRACTICE,THEFT OF LOST/MISLAID PROP,"(41.864102036, -87.655833034)"
2015,CRIMINAL DAMAGE,TO PROPERTY,"(41.907196193, -87.721572983)"
2015,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,"(41.776217883, -87.703802936)"
2015,OTHER OFFENSE,OTHER VEHICLE OFFENSE,"(41.757307377, -87.553133177)"
2015,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME","(41.94569115, -87.712684466)"
2015,CRIMINAL DAMAGE,TO VEHICLE,"(41.861791131, -87.731154228)"
2015,THEFT,OVER $500,"(41.944733595, -87.654524238)"
2015,THEFT,$500 AND UNDER,"(41.706261732, -87.617399214)"
2015,THEFT,$500 AND UNDER,"(41.814843999, -87.615417213)"
2015,THEFT,OVER $500,"(41.944988672, -87.68246138)"
2015,THEFT,RETAIL THEFT,"(41.778340981, -87.703122242)"
2015,NARCOTICS,POSS: HEROIN(WHITE),"(41.813188064, -87.605208595)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.895479821, -87.714177247)"
2015,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,"(41.706519697, -87.606036238)"
2015,BATTERY,SIMPLE,"(41.93991842, -87.653288878)"
2015,CRIMINAL DAMAGE,TO VEHICLE,"(41.738842543, -87.652204795)"
2015,ROBBERY,ARMED: HANDGUN,"(41.767414241, -87.589487591)"
2015,NARCOTICS,POSS: CRACK,"(41.878561061, -87.748101027)"
2015,MOTOR VEHICLE THEFT,AUTOMOBILE,"(41.869992943, -87.711441988)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.893869226, -87.768529462)"
2015,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,"(41.753008079, -87.561409115)"
2015,NARCOTICS,FOUND SUSPECT NARCOTICS,"(41.875041173, -87.743466273)"
2015,THEFT,RETAIL THEFT,"(41.940573534, -87.644416473)"
2015,THEFT,RETAIL THEFT,"(42.019381373, -87.672418401)"
2015,NARCOTICS,POSS: HEROIN(WHITE),"(41.675286217, -87.633398214)"
2015,MOTOR VEHICLE THEFT,AUTOMOBILE,"(41.93436516, -87.638338357)"
2015,THEFT,$500 AND UNDER,"(41.915477967, -87.636287405)"
2015,THEFT,FROM BUILDING,"(42.016382847, -87.687515051)"
2015,CRIMINAL DAMAGE,TO PROPERTY,"(41.771429553, -87.684647839)"
2015,CRIMINAL DAMAGE,TO PROPERTY,"(41.938718146, -87.755277124)"
2015,THEFT,OVER $500,"(41.892841858, -87.617721411)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.779228314, -87.680195316)"
2015,BATTERY,SIMPLE,"(41.881663378, -87.754315436)"
2015,THEFT,$500 AND UNDER,"(41.924270193, -87.635791177)"
2015,BATTERY,SIMPLE,"(41.90295958, -87.6929719)"
2015,THEFT,OVER $500,"(41.902007818, -87.624392714)"
2015,CRIMINAL DAMAGE,TO VEHICLE,"(41.882219372, -87.677546419)"
2015,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,"(41.65460049, -87.613148723)"
2015,THEFT,RETAIL THEFT,"(41.808981361, -87.606551046)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.790235827, -87.767096911)"
2015,THEFT,OVER $500,"(41.90939986, -87.763726882)"
2015,THEFT,RETAIL THEFT,"(42.018527314, -87.690183466)"
2015,ROBBERY,ARMED: HANDGUN,"(41.763356674, -87.646088243)"
2015,MOTOR VEHICLE THEFT,AUTOMOBILE,"(41.992896423, -87.697044604)"
2015,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"(41.910448764, -87.753430815)"
2015,THEFT,POCKET-PICKING,"(41.880579428, -87.627732563)"
2015,BATTERY,SIMPLE,"(41.912663783, -87.68185671)"
2015,THEFT,$500 AND UNDER,"(41.925398601, -87.652337017)"
2015,OTHER OFFENSE,POSSESSION OF BURGLARY TOOLS,"(41.903411736, -87.628667741)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.749378451, -87.609642391)"
2015,BATTERY,AGGRAVATED: OTHER DANG WEAPON,"(41.734805443, -87.554138326)"
2015,THEFT,$500 AND UNDER,"(41.912761077, -87.78620374)"
2015,NARCOTICS,FOUND SUSPECT NARCOTICS,"(41.867491495, -87.697151553)"
2015,THEFT,$500 AND UNDER,"(41.780155491, -87.586451255)"
2015,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,"(41.794141567, -87.730541033)"
2015,BATTERY,SIMPLE,"(41.744708782, -87.547565668)"
2015,MOTOR VEHICLE THEFT,AUTOMOBILE,"(41.876891751, -87.741517829)"
2015,THEFT,FROM BUILDING,"(41.761218589, -87.576191815)"
2015,CRIMINAL DAMAGE,TO PROPERTY,"(41.730061314, -87.552232014)"
2015,THEFT,$500 AND UNDER,"(41.972364558, -87.656304974)"
2015,ASSAULT,SIMPLE,"(41.808615178, -87.664164824)"
2015,THEFT,RETAIL THEFT,"(41.866810739, -87.625817031)"
2015,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,"(41.772112526, -87.67064079)"
2015,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,"(41.690278467, -87.612084563)"
2015,THEFT,$500 AND UNDER,"(41.930946496, -87.788962647)"
2015,CRIMINAL DAMAGE,TO VEHICLE,"(41.915422229, -87.637504143)"
2015,BATTERY,SIMPLE,"(41.781970699, -87.686162193)"
2015,BATTERY,SIMPLE,"(41.899811416, -87.726220311)"
2015,BATTERY,SIMPLE,"(41.884324883, -87.629450399)"
2015,BATTERY,AGGRAVATED: OTHER DANG WEAPON,"(41.740170861, -87.714304717)"
2015,THEFT,$500 AND UNDER,"(41.949103328, -87.650518776)"
2015,THEFT,$500 AND UNDER,"(41.916102806, -87.635696416)"
2015,ASSAULT,SIMPLE,"(41.658719109, -87.599595698)"
2015,OTHER OFFENSE,HARASSMENT BY TELEPHONE,"(41.83368122, -87.612439993)"
2015,CRIMINAL DAMAGE,TO VEHICLE,"(41.9983805, -87.694786321)"
2015,OTHER OFFENSE,TELEPHONE THREAT,"(41.698782944, -87.643795526)"
2015,THEFT,$500 AND UNDER,"(41.867955516, -87.640743304)"
2015,THEFT,OVER $500,"(41.777243014, -87.696607121)"
2015,CRIMINAL DAMAGE,TO VEHICLE,"(41.902445346, -87.629942006)"
2015,OFFENSE INVOLVING CHILDREN,CONTRIBUTE CRIM DELINQUENCY JUVENILE,"(41.692833841, -87.60431945)"
2015,CRIMINAL DAMAGE,TO VEHICLE,"(41.86710024, -87.723677264)"
2015,THEFT,$500 AND UNDER,"(41.806790948, -87.616519469)"
2015,THEFT,$500 AND UNDER,"(41.959370245, -87.706474255)"
2015,THEFT,$500 AND UNDER,"(41.722427751, -87.578680397)"
2015,THEFT,OVER $500,"(41.944953005, -87.649416212)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.950855381, -87.703043289)"
2015,CRIMINAL DAMAGE,TO PROPERTY,"(41.793977524, -87.643348231)"
2015,THEFT,$500 AND UNDER,"(41.753366813, -87.668370865)"
2015,THEFT,FROM BUILDING,"(41.861948839, -87.646766244)"
2015,BURGLARY,UNLAWFUL ENTRY,"(41.94622856, -87.676111544)"
2015,ASSAULT,SIMPLE,"(41.878555458, -87.687167809)"
2015,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"(41.842672392, -87.706631069)"
2015,ASSAULT,AGGRAVATED: OTHER FIREARM,"(41.791650372, -87.632918473)"
2015,GAMBLING,GAME/DICE,"(41.880721142, -87.771806969)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.876612524, -87.758400117)"
2015,BATTERY,SIMPLE,"(41.908706263, -87.736312283)"
2015,ASSAULT,AGG PO HANDS NO/MIN INJURY,"(41.877585867, -87.683123746)"
2015,CRIMINAL DAMAGE,TO STATE SUP PROP,"(41.890954095, -87.668918026)"
2015,THEFT,RETAIL THEFT,"(41.736345716, -87.585636406)"
2015,THEFT,RETAIL THEFT,"(41.742710224, -87.634088181)"
2015,CRIMINAL DAMAGE,TO VEHICLE,"(41.875074332, -87.720451076)"
2015,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,"(41.931255933, -87.767817559)"
2015,BATTERY,SIMPLE,"(41.999682206, -87.681771862)"
2015,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,"(41.763300989, -87.715017128)"
2015,MOTOR VEHICLE THEFT,AUTOMOBILE,"(41.688333269, -87.628984234)"
2015,THEFT,POCKET-PICKING,
2015,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,"(41.790459431, -87.619114311)"
2015,NARCOTICS,FOUND SUSPECT NARCOTICS,"(41.76680404, -87.605619683)"
2015,ROBBERY,STRONGARM - NO WEAPON,"(41.959378575, -87.727449421)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.994791988, -87.691011083)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.921645266, -87.701431139)"
2015,THEFT,$500 AND UNDER,"(41.911807635, -87.63201785)"
2015,ROBBERY,STRONGARM - NO WEAPON,"(41.880487595, -87.745964635)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.771668131, -87.573172887)"
2015,ROBBERY,STRONGARM - NO WEAPON,"(41.764177795, -87.716804793)"
2015,OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,"(41.892753031, -87.624193896)"
2015,NARCOTICS,POS: HYPODERMIC NEEDLE,"(41.797201502, -87.723272993)"
2015,THEFT,RETAIL THEFT,"(41.909240284, -87.65274758)"
2015,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,"(41.749963096, -87.644024994)"
2015,BATTERY,AGGRAVATED: HANDGUN,"(41.899164892, -87.731122794)"
2015,THEFT,RETAIL THEFT,"(41.926404101, -87.792881805)"
2015,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,"(41.937537255, -87.701465395)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.912078758, -87.759422936)"
2015,ROBBERY,ARMED: HANDGUN,"(41.902790117, -87.711065055)"
2015,CRIMINAL DAMAGE,TO PROPERTY,"(41.953140703, -87.769969614)"
2015,THEFT,$500 AND UNDER,"(41.831103159, -87.617514186)"
2015,THEFT,OVER $500,"(41.96538061, -87.659110921)"
2015,THEFT,$500 AND UNDER,"(41.823879885, -87.613503857)"
2015,THEFT,POCKET-PICKING,"(41.77767637, -87.742269586)"
2015,THEFT,FROM BUILDING,"(41.761179816, -87.586198524)"
2015,BURGLARY,FORCIBLE ENTRY,"(41.882977423, -87.689297233)"
2015,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,"(41.690778821, -87.622356236)"
2015,THEFT,$500 AND UNDER,"(41.905033733, -87.64452317)"
2015,NARCOTICS,POSS: HEROIN(WHITE),"(41.872558733, -87.723709844)"
2015,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"(41.750154295, -87.661008708)"
2015,CRIMINAL DAMAGE,TO VEHICLE,"(41.936951355, -87.694767335)"
2015,CRIMINAL TRESPASS,TO RESIDENCE,"(41.94273318, -87.647616797)"
2015,BURGLARY,UNLAWFUL ENTRY,"(41.721635519, -87.630305672)"
2015,ASSAULT,SIMPLE,"(41.985444962, -87.668307937)"
2015,CRIMINAL DAMAGE,TO VEHICLE,"(41.76502302, -87.720905754)"
2015,NARCOTICS,POSS: HEROIN(WHITE),"(41.871646755, -87.724059969)"
2015,BATTERY,AGGRAVATED: OTHER DANG WEAPON,"(41.96538061, -87.659110921)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.899034797, -87.763712482)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.762404808, -87.6661773)"
2015,DECEPTIVE PRACTICE,COUNTERFEIT CHECK,"(41.956585336, -87.723372925)"
2015,CRIMINAL DAMAGE,TO PROPERTY,"(41.947397732, -87.810731433)"
2015,THEFT,FROM BUILDING,"(41.877578503, -87.629282088)"
2015,CRIMINAL DAMAGE,TO VEHICLE,"(41.908923397, -87.689642668)"
2015,ROBBERY,ATTEMPT: ARMED-HANDGUN,"(41.881982656, -87.697426458)"
2015,BATTERY,AGGRAVATED: OTHER DANG WEAPON,"(41.787816893, -87.688754509)"
2015,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"(41.892632423, -87.745728503)"
2015,THEFT,$500 AND UNDER,"(41.866996231, -87.62741936)"
2015,BATTERY,SIMPLE,"(41.721698889, -87.625429457)"
2015,BURGLARY,UNLAWFUL ENTRY,"(41.702593177, -87.624580748)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.775283736, -87.67138536)"
2015,THEFT,$500 AND UNDER,"(41.903335416, -87.668326825)"
2015,DECEPTIVE PRACTICE,COUNTERFEIT CHECK,
2015,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,"(41.783276387, -87.623784561)"
2015,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,"(41.793068134, -87.673057968)"
2015,BURGLARY,FORCIBLE ENTRY,"(41.867264692, -87.713895199)"
2015,THEFT,OVER $500,"(41.731135234, -87.568272824)"
2015,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER,"(41.688414314, -87.622979041)"
2015,THEFT,$500 AND UNDER,"(41.808694323, -87.596815741)"
2015,MOTOR VEHICLE THEFT,AUTOMOBILE,"(41.819270663, -87.624722724)"
2015,BURGLARY,FORCIBLE ENTRY,
2015,THEFT,RETAIL THEFT,"(41.930946496, -87.788962647)"
2015,OTHER OFFENSE,HARASSMENT BY TELEPHONE,"(41.901561766, -87.728730978)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.742688122, -87.658386049)"
2015,THEFT,RETAIL THEFT,"(41.742710224, -87.634088181)"
2015,CRIMINAL DAMAGE,TO VEHICLE,"(41.872340029, -87.696060728)"
2015,BATTERY,PRO EMP HANDS NO/MIN INJURY,"(41.890954095, -87.668918026)"
2015,THEFT,RETAIL THEFT,"(41.868541914, -87.639235361)"
2015,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,"(41.755408131, -87.651439611)"
2015,THEFT,RETAIL THEFT,"(41.882470918, -87.627847625)"
2015,ASSAULT,SIMPLE,"(41.881953603, -87.700114796)"
2015,BATTERY,AGG: HANDS/FIST/FEET SERIOUS INJURY,"(41.876196728, -87.724060818)"
2015,BURGLARY,UNLAWFUL ENTRY,"(41.857593305, -87.682034181)"
2015,THEFT,OVER $500,"(41.692041778, -87.665923635)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.835663847, -87.64256673)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.953631538, -87.729408185)"
2015,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"(41.753466436, -87.664730628)"
2015,ASSAULT,SIMPLE,"(41.80973879, -87.674819875)"
2015,THEFT,RETAIL THEFT,"(41.900266664, -87.62418056)"
2015,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,"(41.721681725, -87.627099997)"
2015,BURGLARY,ATTEMPT FORCIBLE ENTRY,"(41.733586711, -87.648431727)"
2015,BATTERY,SIMPLE,"(41.878113871, -87.634262752)"
2015,CRIMINAL DAMAGE,TO PROPERTY,"(41.802432449, -87.590934868)"
2015,THEFT,OVER $500,"(41.933223892, -87.645226923)"
2015,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,"(41.827797157, -87.631434876)"
2015,CRIMINAL TRESPASS,TO LAND,"(41.876607964, -87.627644063)"
2015,THEFT,RETAIL THEFT,"(41.896714548, -87.625340136)"
2015,THEFT,$500 AND UNDER,"(41.691361226, -87.713971072)"
2015,THEFT,$500 AND UNDER,"(41.765852479, -87.660203364)"
2015,BATTERY,SIMPLE,"(41.849173995, -87.717365709)"
2015,THEFT,$500 AND UNDER,"(41.952932011, -87.785250058)"
2015,CRIMINAL DAMAGE,TO VEHICLE,"(41.824691356, -87.620410678)"
2015,BURGLARY,FORCIBLE ENTRY,"(41.981225768, -87.752513208)"
2015,THEFT,FROM BUILDING,"(41.892507547, -87.626216651)"
2015,ROBBERY,STRONGARM - NO WEAPON,"(41.885303483, -87.627930307)"
2015,BATTERY,SIMPLE,"(41.908279796, -87.660663594)"
2015,CRIMINAL DAMAGE,TO PROPERTY,"(41.776182065, -87.764830208)"
2015,OTHER OFFENSE,TELEPHONE THREAT,"(41.894902877, -87.68278652)"
2015,THEFT,FROM BUILDING,"(41.887154215, -87.624545946)"
2015,THEFT,$500 AND UNDER,"(41.758791544, -87.710849137)"
2015,ROBBERY,STRONGARM - NO WEAPON,"(41.751631808, -87.665900401)"
2015,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,"(41.873608001, -87.670390152)"
2015,CRIMINAL DAMAGE,TO VEHICLE,"(41.877805859, -87.624307765)"
2015,OTHER OFFENSE,LICENSE VIOLATION,"(41.750435417, -87.65793843)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.770658677, -87.609355595)"
2015,BATTERY,AGGRAVATED: HANDGUN,"(41.734121224, -87.652481833)"
2015,NARCOTICS,POSS: HEROIN(WHITE),"(41.895544777, -87.707429358)"
2015,ASSAULT,AGG PO HANDS NO/MIN INJURY,"(41.789281852, -87.619952434)"
2015,THEFT,OVER $500,"(41.789632578, -87.775613166)"
2015,BATTERY,SIMPLE,"(41.898525618, -87.762306516)"
2015,CRIMINAL DAMAGE,TO PROPERTY,"(41.793876041, -87.649323127)"
2015,PROSTITUTION,SOLICIT ON PUBLIC WAY,"(41.86866942, -87.74301085)"
2015,ASSAULT,PRO EMP HANDS NO/MIN INJURY,"(41.749460005, -87.72089612)"
2015,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,"(41.88407653, -87.721679741)"
2015,THEFT,$500 AND UNDER,"(41.811697721, -87.675214316)"
2015,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,"(41.837314644, -87.654787233)"
2015,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,"(41.987195033, -87.748313568)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.749850478, -87.66585289)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.697041696, -87.631335207)"
2015,OTHER OFFENSE,PAROLE VIOLATION,"(41.790086602, -87.653554734)"
2015,THEFT,FROM BUILDING,"(41.931537378, -87.672047109)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.830697249, -87.614476891)"
2015,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,"(41.81139508, -87.734249216)"
2015,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,"(41.884517013, -87.61879116)"
2015,THEFT,$500 AND UNDER,"(41.8744151, -87.627609439)"
2015,THEFT,OVER $500,"(41.879079395, -87.624341423)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.891946946, -87.629664215)"
2015,ROBBERY,STRONGARM - NO WEAPON,"(41.803201891, -87.72198373)"
2015,THEFT,RETAIL THEFT,"(41.754592961, -87.741528537)"
2015,ROBBERY,ARMED: HANDGUN,"(41.774867195, -87.693283486)"
2015,PROSTITUTION,SOLICIT ON PUBLIC WAY,"(41.879296433, -87.741124765)"
2015,BATTERY,SIMPLE,"(41.874997972, -87.686513346)"
2015,ASSAULT,SIMPLE,"(41.743826264, -87.551757398)"
2015,CRIMINAL DAMAGE,TO PROPERTY,"(41.684460424, -87.636088429)"
2015,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),"(41.874155065, -87.639427982)"
2015,CRIMINAL DAMAGE,TO PROPERTY,"(41.739336029, -87.69119983)"
2015,CRIMINAL DAMAGE,TO VEHICLE,"(41.803265784, -87.728350257)"
2015,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"(41.960675082, -87.75156377)"
2015,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,"(41.883219258, -87.626818503)"
2015,THEFT,OVER $500,"(41.898427551, -87.621442383)"
2015,ROBBERY,ARMED: HANDGUN,"(41.779759904, -87.599159759)"
2015,THEFT,FROM BUILDING,"(41.883219258, -87.626818503)"
2015,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,"(41.969510444, -87.685285966)"
2015,THEFT,FROM BUILDING,"(41.883217427, -87.628753807)"
2015,ASSAULT,SIMPLE,"(41.806821175, -87.604316037)"
2015,MOTOR VEHICLE THEFT,AUTOMOBILE,"(41.962039762, -87.646876692)"
2015,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,"(41.771775333, -87.696419248)"
2015,CRIMINAL DAMAGE,TO PROPERTY,"(41.972047494, -87.671106058)"
2015,NARCOTICS,POSS: CRACK,"(41.896229142, -87.712678764)"
2015,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"(41.895626504, -87.754395017)"
2015,CRIMINAL TRESPASS,TO STATE SUP LAND,"(41.918711651, -87.76551063)"
2015,THEFT,OVER $500,"(41.907752472, -87.673358003)"
2015,ROBBERY,STRONGARM - NO WEAPON,"(41.946212132, -87.646579678)"
2015,THEFT,PURSE-SNATCHING,"(41.769180977, -87.624555758)"
2015,BATTERY,SIMPLE,"(41.883209726, -87.63422924)"
2015,CRIMINAL DAMAGE,TO PROPERTY,"(41.758996747, -87.565596274)"
2015,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"(41.982953642, -87.669801384)"
2015,BATTERY,SIMPLE,"(41.778099133, -87.633828531)"
2015,THEFT,RETAIL THEFT,"(41.692576964, -87.623786349)"
2015,BATTERY,AGG PRO EMP HANDS SERIOUS INJ,"(41.740247076, -87.608601727)"
2015,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,"(41.885478509, -87.636822924)"
2015,THEFT,FROM BUILDING,"(41.910310709, -87.687949793)"
2015,THEFT,FROM BUILDING,"(41.899145291, -87.627910223)"
2015,ASSAULT,SIMPLE,"(41.748934781, -87.635519458)"
2015,THEFT,FROM BUILDING,"(41.885478509, -87.636822924)"
2015,ASSAULT,SIMPLE,"(41.766687052, -87.623325904)"
2015,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,"(41.880457093, -87.62435557)"
2015,OTHER OFFENSE,TELEPHONE THREAT,"(41.744067093, -87.596939203)"
2015,THEFT,RETAIL THEFT,"(41.93374417, -87.644581852)"
2015,BATTERY,SIMPLE,"(41.731430954, -87.552669707)"
2015,CRIMINAL TRESPASS,TO LAND,"(41.947769384, -87.656965961)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.72634013, -87.651856972)"
2015,BURGLARY,FORCIBLE ENTRY,"(41.779669601, -87.716337453)"
2015,BATTERY,AGGRAVATED: OTHER DANG WEAPON,"(41.791220341, -87.688848758)"
2015,BATTERY,SIMPLE,"(41.874233514, -87.630666333)"
2015,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"(41.945304423, -87.80485248)"
2015,CRIMINAL TRESPASS,TO STATE SUP LAND,"(41.952932011, -87.785250058)"
2015,CRIMINAL TRESPASS,TO LAND,"(41.715680818, -87.643058205)"
2015,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"(42.018355045, -87.682987051)"
2015,BURGLARY,FORCIBLE ENTRY,"(42.006422016, -87.773867167)"
2015,OTHER OFFENSE,TELEPHONE THREAT,"(41.774375943, -87.613086155)"
2015,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,"(41.763906678, -87.566476099)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.745809098, -87.55764039)"
2015,ASSAULT,SIMPLE,"(41.797994979, -87.677518298)"
2015,BATTERY,SIMPLE,"(41.888676095, -87.636913058)"
2015,DECEPTIVE PRACTICE,COUNTERFEIT CHECK,
2015,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,"(41.797564314, -87.585468002)"
2015,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,"(41.89307048, -87.726016035)"
2015,BURGLARY,FORCIBLE ENTRY,"(41.748495903, -87.561327584)"
2015,BATTERY,SIMPLE,"(41.748957622, -87.721894004)"
2015,CRIMINAL DAMAGE,TO PROPERTY,"(41.976023223, -87.819985695)"
2015,THEFT,RETAIL THEFT,"(41.910835515, -87.653351515)"
2015,BURGLARY,FORCIBLE ENTRY,"(41.873027117, -87.730299749)"
2015,INTERFERENCE WITH PUBLIC OFFICER,RESIST/OBSTRUCT/DISARM OFFICER,"(41.873699424, -87.704705156)"
2015,BURGLARY,FORCIBLE ENTRY,"(41.900674258, -87.663733465)"
2015,THEFT,$500 AND UNDER,"(41.909926492, -87.777675321)"
2015,ROBBERY,AGGRAVATED,"(41.87859028, -87.745761689)"
2015,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,"(41.842657827, -87.625253773)"
2015,CRIMINAL DAMAGE,TO PROPERTY,"(41.783384053, -87.617253227)"
2015,ROBBERY,ARMED: HANDGUN,"(41.871730695, -87.716649852)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.730145605, -87.545284948)"
2015,THEFT,FROM BUILDING,"(41.880457093, -87.62435557)"
2015,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"(41.903985734, -87.762672968)"
2015,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"(41.883399879, -87.720870948)"
2015,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,"(41.831833552, -87.669206881)"
2015,BATTERY,SIMPLE,"(41.964744922, -87.714849143)"
2015,BATTERY,SIMPLE,"(41.874440107, -87.636649045)"
2015,THEFT,$500 AND UNDER,"(41.780223407, -87.694645452)"
2015,THEFT,OVER $500,"(41.89848934, -87.7660608)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.785793196, -87.736804977)"
2015,THEFT,FROM BUILDING,"(41.702736852, -87.626966779)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.884534571, -87.738347838)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.859943873, -87.727430869)"
2015,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"(41.686460463, -87.633734743)"
2015,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,"(41.791243922, -87.703490919)"
2015,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,"(41.956759111, -87.652734862)"
2015,MOTOR VEHICLE THEFT,AUTOMOBILE,"(41.886815464, -87.628361716)"
2015,THEFT,FROM BUILDING,"(41.800483161, -87.587414531)"
2015,ASSAULT,SIMPLE,"(41.906438061, -87.710210418)"
2015,OTHER OFFENSE,TELEPHONE THREAT,"(41.968961269, -87.70849094)"
2015,THEFT,FROM BUILDING,"(41.958554021, -87.669168509)"
2015,BURGLARY,UNLAWFUL ENTRY,"(41.756216238, -87.565105318)"
2015,THEFT,FROM BUILDING,"(41.800483161, -87.587414531)"
2015,CRIMINAL DAMAGE,TO VEHICLE,"(41.837583389, -87.623427181)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.877682952, -87.745960943)"
2015,OTHER OFFENSE,TELEPHONE THREAT,"(41.950773926, -87.766924545)"
2015,ASSAULT,AGGRAVATED: HANDGUN,"(41.877682952, -87.745960943)"
2015,CRIMINAL DAMAGE,TO PROPERTY,"(41.879270204, -87.743493479)"
